z,kl,auc,std_5
8.0,1e-08,0.90508,0.00285
8.0,1e-05,0.914165,0.00267
8.0,0.0001,0.912853,0.00268
8.0,0.001,0.91705,0.00262
8.0,0.01,0.915045,0.00264
8.0,1.0,0.908199,0.00277
8.0,100.0,0.818121,0.00407
16.0,1e-08,0.898631,0.00296
16.0,1e-05,0.913081,0.00267
16.0,0.0001,0.912382,0.00270
16.0,0.001,0.913389,0.00266
16.0,0.01,0.914803,0.00266
16.0,1.0,0.863199,0.00351
16.0,100.0,0.796904,0.00372
64.0,1e-08,0.895265,0.00299
64.0,1e-05,0.910835,0.00269
64.0,0.0001,0.907563,0.00278
64.0,0.001,0.911781,0.00271
64.0,0.01,0.909462,0.00274
64.0,1.0,0.869254,0.00344
64.0,100.0,0.813748,0.00415
128.0,1e-08,0.888242,0.00309
128.0,1e-05,0.905759,0.00280
128.0,0.0001,0.907171,0.00280
128.0,0.001,0.908147,0.00276
128.0,0.01,0.907063,0.00276
128.0,1.0,0.906249,0.00281
128.0,100.0,0.895121,0.00306
